timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748089105051,446,HTTP请求,200,,线程组 1-65,text,true,,240,402,502,502,http://localhost:8080/api/v1/transactions,426,0,1
1748089105152,345,HTTP请求,200,,线程组 1-164,text,true,,240,404,502,502,http://localhost:8080/api/v1/transactions,322,0,1
1748089105059,438,HTTP请求,200,,线程组 1-73,text,true,,240,404,502,502,http://localhost:8080/api/v1/transactions,414,0,1
1748089105142,356,HTTP请求,200,,线程组 1-155,text,true,,240,405,500,500,http://localhost:8080/api/v1/transactions,332,0,1
1748089105126,372,HTTP请求,200,,线程组 1-140,text,true,,240,404,500,500,http://localhost:8080/api/v1/transactions,351,0,1
1748089104991,507,HTTP请求,200,,线程组 1-4,text,true,,240,403,498,498,http://localhost:8080/api/v1/transactions,483,0,1
1748089105055,444,HTTP请求,200,,线程组 1-69,text,true,,240,405,497,497,http://localhost:8080/api/v1/transactions,422,0,1
1748089105173,327,HTTP请求,200,,线程组 1-186,text,true,,240,402,498,498,http://localhost:8080/api/v1/transactions,300,0,1
1748089105141,359,HTTP请求,200,,线程组 1-154,text,true,,240,404,498,498,http://localhost:8080/api/v1/transactions,333,0,1
1748089105059,442,HTTP请求,200,,线程组 1-71,text,true,,240,404,496,496,http://localhost:8080/api/v1/transactions,415,0,1
1748089105130,371,HTTP请求,200,,线程组 1-143,text,true,,240,403,495,495,http://localhost:8080/api/v1/transactions,354,0,1
1748089105191,310,HTTP请求,200,,线程组 1-204,text,true,,240,404,494,494,http://localhost:8080/api/v1/transactions,310,0,1
1748089105192,309,HTTP请求,200,,线程组 1-205,text,true,,240,403,494,494,http://localhost:8080/api/v1/transactions,309,0,1
1748089105103,398,HTTP请求,200,,线程组 1-116,text,true,,240,405,493,493,http://localhost:8080/api/v1/transactions,371,0,0
1748089105185,317,HTTP请求,200,,线程组 1-198,text,true,,240,404,492,492,http://localhost:8080/api/v1/transactions,316,0,1
1748089105192,311,HTTP请求,200,,线程组 1-206,text,true,,240,403,492,492,http://localhost:8080/api/v1/transactions,311,0,1
1748089105085,418,HTTP请求,200,,线程组 1-98,text,true,,240,404,491,491,http://localhost:8080/api/v1/transactions,389,0,1
1748089105201,303,HTTP请求,200,,线程组 1-207,text,true,,240,404,492,492,http://localhost:8080/api/v1/transactions,303,0,0
